"Powertrain","Year","Country","chemistry","MWh","chem_share_mwh"
"BEV","2022","Egypt, Arab Rep.","NMC 811",0.286648324868923,0.109818529181259
"BEV","2022","Estonia","NMC 111",1.53018837094287,0.0282824042433701
"BEV","2022","Estonia","LFP",0.8728,0.0161319239463329
"BEV","2022","Estonia","NMC 622",23.4592071236896,0.433595491705581
"BEV","2022","Estonia","NMC 532",7.07551866151653,0.130776499688868
"BEV","2022","Estonia","NMC 811",10.960185843851,0.20257663206998
"BEV","2022","Estonia","NMC 721",9.806,0.181243865968997
"BEV","2022","Estonia","NMCA 89:4:4:3",0.4,0.00739318237687117
"BEV","2022","Ethiopia","NMC 111",0.042509638583258,0.00145401691692632
"BEV","2022","Ethiopia","NMC 622",28.8696038881672,0.987467638807196
"BEV","2022","Ethiopia","NMC 532",0.143418161219698,0.00490553294635717
"BEV","2022","Ethiopia","NMC 811",0.180468312029861,0.00617281132952049
"BEV","2022","Fiji","NMC 622",3.968,1
"BEV","2022","Finland","NMC 111",29.1884629323664,0.0271193059882808
"BEV","2022","Finland","LFP",8.345,0.00775342672194131
"BEV","2022","Finland","NMC 622",320.759236186377,0.29802075891635
"BEV","2022","Finland","NMC 532",161.322347500934,0.149886279204319
"BEV","2022","Finland","NMC 811",159.739253380322,0.148415409910359
"BEV","2022","Finland","NMC 721",270.084,0.25093786731801
"BEV","2022","Finland","NMCA 89:4:4:3",109.76,0.101979163211537
"BEV","2022","Finland","NCA",17.1,0.0158877887292027
"BEV","2022","France","NMC 111",266.721607099856,0.0230048036900766
"BEV","2022","France","LFP",633.382,0.0546293520396082
"BEV","2022","France","NMC 622",3609.89682789637,0.311354482188973
"BEV","2022","France","NMC 532",3409.11897817656,0.294037343662619
"BEV","2022","France","NMC 811",1193.95868682721,0.102979228054211
"BEV","2022","France","NMC 721",1035.932,0.0893493877582493
"BEV","2022","France","NMCA 89:4:4:3",1414.96,0.12204064523773
"BEV","2022","France","NCA",30.2,0.002604757368533
"BEV","2022","Georgia","NMC 111",0.188273285868597,0.045308101715502
"BEV","2022","Georgia","NMC 622",2.5326480264885,0.609483569930333
"BEV","2022","Georgia","NMC 532",0.635192614333332,0.1528595596894
"BEV","2022","Georgia","NMC 811",0.799286073309567,0.192348768664766
"BEV","2022","Germany","NMC 111",699.280988254474,0.0234014983250774
"BEV","2022","Germany","LMO",0.5978,2.00054283381152e-05
"BEV","2022","Germany","LFP",895.189,0.0299575767624106
"BEV","2022","Germany","NMC 622",8854.28483083183,0.296309402255716
"BEV","2022","Germany","NMC 532",5283.65509346012,0.176817971454557
"BEV","2022","Germany","NMC 811",3648.01583745357,0.122081163286194
"BEV","2022","Germany","NMC 721",6179.826,0.206808407803649
"BEV","2022","Germany","NMCA 89:4:4:3",4251.44,0.14227480470692
"BEV","2022","Germany","NCA",69.6,0.00232916997713754
"BEV","2022","Ghana","NMC 111",0.0465575713319324,0.00460619448058218
"BEV","2022","Ghana","LFP",1.0388,0.102774150144446
"BEV","2022","Ghana","NMC 622",7.09951422856281,0.702393666999367
"BEV","2022","Ghana","NMC 532",1.72507499507913,0.170671078701089
"BEV","2022","Ghana","NMC 811",0.197653205026137,0.0195549096745159
"BEV","2022","Greece","NMC 111",5.42729438403502,0.0261502165047004
"BEV","2022","Greece","LFP",6.7027,0.032295476118202
"BEV","2022","Greece","NMC 622",56.4427427984884,0.27195686098056
"BEV","2022","Greece","NMC 532",36.0964963226587,0.173922976552612
"BEV","2022","Greece","NMC 811",24.1517664948178,0.116369940180193
"BEV","2022","Greece","NMC 721",39.802,0.191777125704071
"BEV","2022","Greece","NMCA 89:4:4:3",38.72,0.186563748235305
"BEV","2022","Greece","NCA",0.2,0.000963655724355917
"BEV","2022","Hungary","NMC 111",9.40752894708506,0.0281001768508575
"BEV","2022","Hungary","LFP",13.2456,0.03956444934576
"BEV","2022","Hungary","NMC 622",119.9750826737,0.358364142145088
"BEV","2022","Hungary","NMC 532",76.6969314089204,0.229092820083912
"BEV","2022","Hungary","NMC 811",44.6532569702943,0.133378746415747
"BEV","2022","Hungary","NMC 721",42.167,0.125952326475408
"BEV","2022","Hungary","NMCA 89:4:4:3",28.64,0.0855473386832281
"BEV","2022","Iceland","NMC 111",13.5427016256878,0.0268295034474934
"BEV","2022","Iceland","LFP",7.3643,0.0145894458653364
"BEV","2022","Iceland","NMC 622",172.373390750262,0.341489653188412
"BEV","2022","Iceland","NMC 532",90.8770935842844,0.180036994316775
"BEV","2022","Iceland","NMC 811",63.0265140397663,0.124862093432375
"BEV","2022","Iceland","NMC 721",58.985,0.116855432881179
"BEV","2022","Iceland","NMCA 89:4:4:3",96,0.190186005875955
"BEV","2022","Iceland","NCA",2.6,0.00515087099247379
"BEV","2022","India","NMC 111",80.3587805258569,0.0491261937099525
"BEV","2022","India","LFP",13.2333,0.00808998910844264
"BEV","2022","India","NMC 622",647.918303910255,0.396095608940672
"BEV","2022","India","NMC 532",549.740832876793,0.336076213071527
"BEV","2022","India","NMC 811",344.511182687096,0.210611995169406
"BEV","2022","Indonesia","NMC 111",9.6373411290439,0.0243777744111077
"BEV","2022","Indonesia","LFP",216.0478,0.546495600798415
"BEV","2022","Indonesia","NMC 622",87.1798015443425,0.220522393759446
"BEV","2022","Indonesia","NMC 532",32.5142671130307,0.0822452436009802
"BEV","2022","Indonesia","NMC 811",40.9138902135829,0.103492194844254
"BEV","2022","Indonesia","NMCA 89:4:4:3",9.04,0.0228667925857966
"BEV","2022","Iraq","NMC 622",0.36,0.743801652892562
"BEV","2022","Iraq","NMC 532",0.124,0.256198347107438
"BEV","2022","Ireland","NMC 111",24.8548590676903,0.0220211236247376
"BEV","2022","Ireland","LFP",31.065,0.0275232381539327
"BEV","2022","Ireland","NMC 622",348.485332348259,0.308754057472189
"BEV","2022","Ireland","NMC 532",166.638822192414,0.14764010909038
"BEV","2022","Ireland","NMC 811",120.377586391636,0.106653178131422
"BEV","2022","Ireland","NMC 721",374.541,0.331839083901887
"BEV","2022","Ireland","NMCA 89:4:4:3",62.72,0.0555692096254518
"BEV","2022","Israel","NMC 111",51.3401087036586,0.0286650648938837
"BEV","2022","Israel","LFP",332.8277,0.18582990686777
"BEV","2022","Israel","NMC 622",440.550716030033,0.245975616003086
"BEV","2022","Israel","NMC 532",215.012823198605,0.120049541881199
"BEV","2022","Israel","NMC 811",251.356752067703,0.140341689791224
"BEV","2022","Israel","NMC 721",98.426,0.0549548442433341
"BEV","2022","Israel","NMCA 89:4:4:3",372.72,0.208103240468733
"BEV","2022","Israel","NCA",28.8,0.0160800958507714
"BEV","2022","Italy","NMC 111",71.338000463769,0.0247892146949222
"BEV","2022","Italy","LFP",65.3343,0.0227029911003043
"BEV","2022","Italy","NMC 622",912.450582222692,0.317067106369385
"BEV","2022","Italy","NMC 532",671.418107055232,0.233310823090752
"BEV","2022","Italy","NMC 811",325.869810258307,0.113236376637573
"BEV","2022","Italy","NMC 721",428.333,0.148841271536799
"BEV","2022","Italy","NMCA 89:4:4:3",401.84,0.139635229025891
"BEV","2022","Italy","NCA",1.2,0.000416987544373556
"BEV","2022","Jamaica","LFP",1.5157,0.808071653249454
"BEV","2022","Jamaica","NMC 622",0.36,0.191928346750546
"BEV","2022","Japan","NMC 111",108.406995367532,0.0385739529778033
"BEV","2022","Japan","LFP",14.6558,0.00521490461141777
"BEV","2022","Japan","NMC 622",1560.4659869077,0.555253297062292
"BEV","2022","Japan","NMC 532",404.091334368509,0.14378592523317
"BEV","2022","Japan","NMC 811",472.85768335626,0.168254732834706
"BEV","2022","Japan","NMC 721",23.7,0.00843305990055821
"BEV","2022","Japan","NMCA 89:4:4:3",159.76,0.0568466518866321
"BEV","2022","Japan","NCA",66.43,0.0236374754934212
"BEV","2022","Jordan","NMC 111",0.957697744225567,0.00930219976344332
"BEV","2022","Jordan","LFP",3.7216,0.0361482177945663
"BEV","2022","Jordan","NMC 622",26.4777784023145,0.257180916918296
"BEV","2022","Jordan","NMC 532",11.2910613324099,0.109671040459952
"BEV","2022","Jordan","NMC 811",6.50576252105005,0.0631910255080192
"BEV","2022","Jordan","NMCA 89:4:4:3",54,0.524506599555723
