"Powertrain","Year","Country","MWh","unit","kwh_veh_total"
"PHEV","2022","Rwanda",1.7112,124,13.8
"PHEV","2022","Saudi Arabia",1.7706,102,17.3588235294118
"PHEV","2022","Serbia",2.0625,152,13.5690789473684
"PHEV","2022","Singapore",7.16255,492,14.5580284552846
"PHEV","2022","Slovak Republic",25.9482,1644,15.7835766423358
"PHEV","2022","Slovenia",10.669,626,17.0431309904153
"PHEV","2022","South Africa",2.3569,141,16.7156028368794
"PHEV","2022","Spain",684.70395,47962,14.2759674325508
"PHEV","2022","Sweden",1004.4182,66501,15.1038059578051
"PHEV","2022","Switzerland",277.5252,18357,15.1182219316882
"PHEV","2022","Thailand",175.5109,10896,16.1078285609398
"PHEV","2022","Tunisia",0.1373,8,17.1625
"PHEV","2022","Turkey",7.9307,543,14.6053406998158
"PHEV","2022","Ukraine",1.762,99,17.7979797979798
"PHEV","2022","United Arab Emirates",5.1885,315,16.4714285714286
"PHEV","2022","United Kingdom",1575.39675,102264,15.4051939098803
"PHEV","2022","United States",3133.42315,189284,16.554083546417
"PHEV","2022","Uruguay",4.6936,286,16.4111888111888
"PHEV","2022","Vietnam",0.3572,19,18.8
