"Powertrain","Year","Region","chemistry","MWh","chem_share_mwh"
"BEV","2011","United States","LMO",236.256,0.879367600937671
"BEV","2011","United States","NMC 622",18.4205777062757,0.0685631654876641
"BEV","2011","United States","NMC 532",5.4757910181509,0.0203814218934859
"BEV","2011","United States","NMC 811",6.89038789557593,0.0256466878016329
"BEV","2012","ASEAN","LMO",0.24,1
"BEV","2012","Australia/NZ","NMC 111",0.126069629649155,0.0305771597499769
"BEV","2012","Australia/NZ","LMO",2.136,0.518069366965802
"BEV","2012","Australia/NZ","NMC 622",0.900389441474913,0.218382110471723
"BEV","2012","Australia/NZ","NMC 532",0.425331173647075,0.103160604813746
"BEV","2012","Australia/NZ","NMC 811",0.535209755228857,0.129810757998752
"BEV","2012","Brazil","NMC 111",0.0253788887064227,0.0247840710023659
"BEV","2012","Brazil","LMO",0.624,0.609375
"BEV","2012","Brazil","NMC 622",0.181256052637124,0.177007863903441
"BEV","2012","Brazil","NMC 532",0.0856227828177303,0.0836159988454397
"BEV","2012","Brazil","NMC 811",0.107742275838723,0.105217066248753
"BEV","2012","Canada","NMC 111",3.52880758018454,0.00689713537335599
"BEV","2012","Canada","LMO",241.416,0.471853110564626
"BEV","2012","Canada","NMC 622",27.7019478389289,0.054144092589131
"BEV","2012","Canada","NMC 532",11.9054198368913,0.0232694162052845
"BEV","2012","Canada","NMC 811",14.9810247439952,0.0292807565567311
"BEV","2012","Canada","NCA",212.1006,0.414555488710871
"BEV","2012","China","NMC 111",24.1898957862835,0.0898783192655267
"BEV","2012","China","LMO",0.36,0.00133759133240817
"BEV","2012","China","LFP",176.5079,0.655820658726576
"BEV","2012","China","NMC 622",32.9410218661393,0.122393403691155
"BEV","2012","China","NMC 532",15.5608704923373,0.0578169041535453
"BEV","2012","China","NMC 811",19.5808118552399,0.0727531228307888
"BEV","2012","EFTA","NMC 111",12.1268578378117,0.0224525289020437
"BEV","2012","EFTA","LMO",330.2516,0.611451349815131
"BEV","2012","EFTA","NMC 622",103.840432771729,0.192257578112145
"BEV","2012","EFTA","NMC 532",42.4093483707531,0.0785196901576771
"BEV","2012","EFTA","NMC 811",51.4827610197066,0.095318853013004
"BEV","2012","European Union","NMC 111",12.1268578378117,0.0224525289020437
"BEV","2012","European Union","LMO",330.2516,0.611451349815131
"BEV","2012","European Union","NMC 622",103.840432771729,0.192257578112145
"BEV","2012","European Union","NMC 532",42.4093483707531,0.0785196901576771
"BEV","2012","European Union","NMC 811",51.4827610197066,0.095318853013004
"BEV","2012","Japan","NMC 111",11.3941896691971,0.0352891849126756
"BEV","2012","Japan","LMO",269.174,0.833664467194519
"BEV","2012","Japan","LFP",1.8832,0.00583249840111125
"BEV","2012","Japan","NMC 622",19.5611532005984,0.0605832597527519
"BEV","2012","Japan","NMC 532",9.24041072168945,0.0286186707518399
"BEV","2012","Japan","NMC 811",11.627546408515,0.036011918987102
"BEV","2012","Mexico","NMC 111",3.52880758018454,0.00689713537335599
"BEV","2012","Mexico","LMO",241.416,0.471853110564626
"BEV","2012","Mexico","NMC 622",27.7019478389289,0.054144092589131
"BEV","2012","Mexico","NMC 532",11.9054198368913,0.0232694162052845
"BEV","2012","Mexico","NMC 811",14.9810247439952,0.0292807565567311
"BEV","2012","Mexico","NCA",212.1006,0.414555488710871
"BEV","2012","Middle East","NMC 111",0.151258176690279,0.00894912890132998
"BEV","2012","Middle East","LMO",14.518,0.858951603360549
"BEV","2012","Middle East","NMC 622",1.08028607371726,0.0639146890141557
"BEV","2012","Middle East","NMC 532",0.510311785593673,0.030192390580622
"BEV","2012","Middle East","NMC 811",0.642143963998789,0.0379921881433433
"BEV","2012","Other Asia Pacific","NMC 111",11.3941896691971,0.0352891849126756
"BEV","2012","Other Asia Pacific","LMO",269.174,0.833664467194519
"BEV","2012","Other Asia Pacific","LFP",1.8832,0.00583249840111125
"BEV","2012","Other Asia Pacific","NMC 622",19.5611532005984,0.0605832597527519
"BEV","2012","Other Asia Pacific","NMC 532",9.24041072168945,0.0286186707518399
"BEV","2012","Other Asia Pacific","NMC 811",11.627546408515,0.036011918987102
"BEV","2012","Other Europe","NMC 111",0.0497426218645885,0.0177146089261355
"BEV","2012","Other Europe","LMO",2.024,0.720797720797721
