"Powertrain","Year","Country","chemistry","MWh","unit","share_units","kwh_veh","kwh_veh_total"
"BEV","2022","Oman","NMC 622",7.50052076494184,90.8135289483111,0.593552476786347,47.8519679128381,80.6196078431372
"BEV","2022","Oman","NMC 532",2.06368845589816,29.5558730790141,0.193175641039308,15.5737444254357,80.6196078431372
"BEV","2022","Oman","NMC 811",2.43456160324261,28.3161868925829,0.185073116944986,14.9205221104119,80.6196078431372
"BEV","2022","Pakistan","NMC 111",0.0548437784945794,0.824813882958738,0.0634472217660568,4.21875219189073,66.4923076923077
"BEV","2022","Pakistan","NMC 622",0.391694329748825,5.89082171070653,0.45314013159281,30.1303330576019,66.4923076923077
"BEV","2022","Pakistan","NMC 532",0.185030833669115,2.78274044157623,0.214056957044326,14.2331410514704,66.4923076923077
"BEV","2022","Pakistan","NMC 811",0.23283105808748,3.5016239647585,0.269355689596808,17.9100813913446,66.4923076923077
"BEV","2022","Panama","NMC 111",0.180069560094246,1.9034166529817,0.0123598483959851,0.867902133665607,70.2194805194805
"BEV","2022","Panama","LFP",4.8591,75,0.487012987012987,34.1977989542925,70.2194805194805
"BEV","2022","Panama","NMC 622",2.29405700747355,25.5942039477843,0.166196129531067,11.6702058800198,70.2194805194805
"BEV","2022","Panama","NMC 532",1.1751150497875,18.4217087113298,0.119621485138505,8.39975854539458,70.2194805194805
"BEV","2022","Panama","NMC 811",1.6654583826447,25.0806706879042,0.162861497973404,11.4360497843169,70.2194805194805
"BEV","2022","Panama","NCA",0.64,8,0.051948051948052,3.6477652217912,70.2194805194805
"BEV","2022","Paraguay","NMC 111",0.334601613427654,3.67993886243129,0.0289758965545771,2.33871990261963,80.7125984251968
"BEV","2022","Paraguay","LFP",0.5736,8,0.062992125984252,5.08425816851634,80.7125984251968
"BEV","2022","Paraguay","NMC 622",6.792925111981,87.282127632383,0.687260847499079,55.4706087975536,80.7125984251968
"BEV","2022","Paraguay","NMC 532",1.12887217436466,12.4153035085709,0.0977582953430779,7.89032603475764,80.7125984251968
"BEV","2022","Paraguay","NMC 811",1.42050110022668,15.6226299966148,0.123012834619014,9.92868552174967,80.7125984251968
"BEV","2022","Peru","NMC 111",0.0502501996387169,0.571024995894511,0.00549062496052414,0.326924480822593,59.5423076923077
"BEV","2022","Peru","LFP",0.4024,8,0.0769230769230769,4.5801775147929,59.5423076923077
"BEV","2022","Peru","NMC 622",5.35688698422151,91.0782611843353,0.875752511387839,52.1443254953659,59.5423076923077
"BEV","2022","Peru","NMC 532",0.169533109979106,1.92651261339893,0.0185241597442205,1.10297121923184,59.5423076923077
"BEV","2022","Peru","NMC 811",0.213329706160672,2.42420120637127,0.0233096269843391,1.38790898209444,59.5423076923077
"BEV","2022","Philippines","NMC 111",0.0603065842886369,0.634472217660567,0.00237630044067628,0.140547936064104,59.1456928838951
"BEV","2022","Philippines","LFP",0.6036,12,0.0449438202247191,2.65823338804023,59.1456928838951
"BEV","2022","Philippines","NMC 622",14.195509695079,239.531401315928,0.897121353243176,53.0608640385053,59.1456928838951
"BEV","2022","Philippines","NMC 532",0.676461137670632,12.1405695704433,0.0454702980166414,2.68937228183146,59.1456928838951
"BEV","2022","Philippines","NMC 811",0.256022582961766,2.69355689596808,0.0100882280747868,0.596675239454029,59.1456928838951
"BEV","2022","Poland","NMC 111",25.2484475631939,368.120780686661,0.0288495909629045,1.9439996165369,67.3839576802508
"BEV","2022","Poland","LFP",28.2178,517,0.0405172413793103,2.73021207842395,67.3839576802508
"BEV","2022","Poland","NMC 622",311.801841840582,4751.11904350148,0.372344752625508,25.0900630533807,67.3839576802508
"BEV","2022","Poland","NMC 532",160.330703119743,2665.95846477118,0.20893091416702,14.0785918783266,67.3839576802508
"BEV","2022","Poland","NMC 811",145.327507476481,2007.80171104068,0.15735123127278,10.6029487090204,67.3839576802508
"BEV","2022","Poland","NMC 721",117.493,1576,0.123510971786834,8.32265809593066,67.3839576802508
"BEV","2022","Poland","NMCA 89:4:4:3",64,800,0.0626959247648903,4.22469954108155,67.3839576802508
"BEV","2022","Poland","NCA",7.4,74,0.00579937304075235,0.390784707550044,67.3839576802508
"BEV","2022","Portugal","NMC 111",31.4656979265494,501.930971391275,0.0259489723099455,1.63934695151182,63.1757948611901
"BEV","2022","Portugal","LMO",0.0366,6,0.000310189732719847,0.0195964829223564,63.1757948611901
"BEV","2022","Portugal","LFP",30.533,570,0.0294680246083855,1.86166587762386,63.1757948611901
"BEV","2022","Portugal","NMC 622",411.85185116148,6726.79158103072,0.347763613763673,21.9702427233199,63.1757948611901
"BEV","2022","Portugal","NMC 532",291.896336991778,5329.40458717766,0.275521097408761,17.4062643298258,63.1757948611901
"BEV","2022","Portugal","NMC 811",177.852913920193,2641.87286040034,0.136580306074567,8.62856939864538,63.1757948611901
"BEV","2022","Portugal","NMC 721",105.393,1415,0.0731530786330972,4.62150388918906,63.1757948611901
"BEV","2022","Portugal","NMCA 89:4:4:3",168.88,2111,0.109135087628599,6.89469590818241,63.1757948611901
"BEV","2022","Portugal","NCA",4.1,41,0.00211962984025229,0.133909299969436,63.1757948611901
"BEV","2022","Qatar","NMC 111",0.416385082284101,4.82198885422031,0.0315162670210478,2.59366518262823,82.2960784313725
"BEV","2022","Qatar","NMC 622",6.52042274160413,75.4386500010536,0.493063071902311,40.5771572368861,82.2960784313725
"BEV","2022","Qatar","NMC 532",3.1427915919948,45.2683287353688,0.295871429642933,24.3490583794971,82.2960784313725
"BEV","2022","Qatar","NMC 811",2.51170058411697,27.4710324093574,0.179549231433708,14.7761976323611,82.2960784313725
"BEV","2022","Romania","NMC 111",16.9470892039891,510.686687994991,0.0439527229533515,1.83504301690404,41.7503829933729
"BEV","2022","Romania","LFP",25.9632,480,0.0413116447198554,1.72477698914012,41.7503829933729
"BEV","2022","Romania","NMC 622",188.590330791137,4982.32491919053,0.42880841029267,17.9029153604983,41.7503829933729
"BEV","2022","Romania","NMC 532",80.2507477284118,2181.94444724978,0.187791070423425,7.84034911291347,41.7503829933729
"BEV","2022","Romania","NMC 811",83.5243322764622,2281.0439455647,0.196320160561555,8.19644189276537,41.7503829933729
"BEV","2022","Romania","NMC 721",42.702,594,0.0511231603408211,2.13441152406089,41.7503829933729
"BEV","2022","Romania","NMCA 89:4:4:3",47.12,589,0.0506928307083226,2.11644509709068,41.7503829933729
"BEV","2022","Russian Federation","NMC 111",2.24284659998575,36.4821525154826,0.0478768405714995,3.2167833441096,67.1887139107612
"BEV","2022","Russian Federation","NMC 622",28.7464130237795,408.555575665866,0.53616217278985,36.0240468373493,67.1887139107612
"BEV","2022","Russian Federation","NMC 532",7.56687062012551,123.082750300487,0.161525919029511,10.8527187628466,67.1887139107612
"BEV","2022","Russian Federation","NMC 811",9.52166975610923,154.879521518164,0.203253965246935,13.6563725222041,67.1887139107612
"BEV","2022","Russian Federation","NMCA 89:4:4:3",3.12,39,0.0511811023622047,3.43879244425155,67.1887139107612
"BEV","2022","Rwanda","NMC 721",0.075,1,1,75,75
"BEV","2022","Saudi Arabia","NMC 111",1.04667612803029,11.6108415831884,0.0299248494412072,2.69730869726147,90.1360824742268
"BEV","2022","Saudi Arabia","NMC 622",24.3993621228603,273.924644081484,0.705991350725475,63.6352946150822,90.1360824742268
"BEV","2022","Saudi Arabia","NMC 532",3.53125480896883,39.1724231391116,0.100959853451319,9.1001256772739,90.1360824742268
"BEV","2022","Saudi Arabia","NMC 811",5.99550694014062,63.2920911962158,0.163123946381999,14.7033534846093,90.1360824742268
"BEV","2022","Serbia","NMC 111",0.286971784047875,3.67993886243129,0.0264743803052611,1.8866138609765,71.2618705035971
"BEV","2022","Serbia","NMC 622",4.65895281519428,68.282127632383,0.491238328290525,35.0065621370429,71.2618705035971
"BEV","2022","Serbia","NMC 532",0.968179616711485,12.4153035085709,0.0893187302774884,6.3650197905801,71.2618705035971
"BEV","2022","Serbia","NMC 811",1.21829578404636,15.6226299966148,0.11239302155838,8.00933694780128,71.2618705035971
"BEV","2022","Serbia","NMC 721",2.773,39,0.280575539568345,19.9943377671963,71.2618705035971
"BEV","2022","Singapore","NMC 111",5.13115447644195,68.5864467291074,0.0203460239481185,1.40968009360407,69.2852862652032
"BEV","2022","Singapore","LFP",58.3921,971,0.288045090477603,19.9572865510271,69.2852862652032
"BEV","2022","Singapore","NMC 622",66.770511234279,955.844482251828,0.283549238282951,19.6457901447146,69.2852862652032
"BEV","2022","Singapore","NMC 532",32.9713854756543,486.395570564916,0.14428821434735,9.99705023575113,69.2852862652032
"BEV","2022","Singapore","NMC 811",24.6955488136247,319.173500454149,0.0946821419324085,6.56007930798952,69.2852862652032
"BEV","2022","Singapore","NMCA 89:4:4:3",45.6,570,0.169089291011569,11.7153999321168,69.2852862652032
"BEV","2022","Slovak Republic","NMC 111",2.85846230333745,40.4158802649782,0.0262953027098101,1.79859870535101,68.4
"BEV","2022","Slovak Republic","LFP",3.223,61,0.0396877033181522,2.71463890696161,68.4
"BEV","2022","Slovak Republic","NMC 622",32.5923410925982,498.65026382462,0.324430880822785,22.1910722482785,68.4
"BEV","2022","Slovak Republic","NMC 532",18.1518224629352,300.354281637235,0.195415928195989,13.3664494886057,68.4
"BEV","2022","Slovak Republic","NMC 811",18.7901741411291,234.579574273166,0.152621713905769,10.4393252311546,68.4
"BEV","2022","Slovak Republic","NMC 721",28.075,384,0.249837345478204,17.0888744307092,68.4
"BEV","2022","Slovak Republic","NMCA 89:4:4:3",1.44,18,0.0117111255692908,0.801040988939492,68.4
"BEV","2022","Slovenia","NMC 111",2.53564283899175,45.1744218974324,0.0193964885776867,1.26056355136053,64.9892657793044
"BEV","2022","Slovenia","LFP",2.738,50,0.021468441391155,1.39521824343719,64.9892657793044
"BEV","2022","Slovenia","NMC 622",36.354964103054,620.635773694081,0.26648165465611,17.3184470797548,64.9892657793044
"BEV","2022","Slovenia","NMC 532",23.5487006654937,438.40855341556,0.18823896668766,12.233512236086,64.9892657793044
"BEV","2022","Slovenia","NMC 811",11.7486923924606,200.781250992927,0.0862092103876887,5.60267328650947,64.9892657793044
"BEV","2022","Slovenia","NMC 721",47.154,637,0.273507943323315,17.7750804213898,64.9892657793044
"BEV","2022","Slovenia","NMCA 89:4:4:3",25.68,321,0.137827393731215,8.95730112286677,64.9892657793044
"BEV","2022","Slovenia","NCA",1.6,16,0.0068699012451696,0.446469837899902,64.9892657793044
"BEV","2022","South Africa","NMC 111",1.953508234566,25.4423359281888,0.0578234907458835,4.53079904250103,78.3556818181818
"BEV","2022","South Africa","NMC 622",17.1589580816768,216.709192768717,0.492520892656175,38.5918103537741,78.3556818181818
"BEV","2022","South Africa","NMC 532",6.59070667891627,85.8368397747746,0.195083726760851,15.2859184219784,78.3556818181818
"BEV","2022","South Africa","NMC 811",8.77332700484091,112.01163152832,0.254571889837091,19.9471539999283,78.3556818181818
"BEV","2022","Spain","NMC 111",51.9940148053461,903.678779613946,0.0256340958106813,1.53172953593727,59.7536011119621
"BEV","2022","Spain","LMO",0.0366,6,0.000170198280997362,0.010169960192658,59.7536011119621
"BEV","2022","Spain","LFP",79.9936,1512,0.0428899668113352,2.56282996854982,59.7536011119621
"BEV","2022","Spain","NMC 622",643.796014168268,11617.0748942764,0.329534362870575,19.6908648716529,59.7536011119621
"BEV","2022","Spain","NMC 532",560.736658414991,10346.8132391823,0.293501637851596,17.5377797938919,59.7536011119621
"BEV","2022","Spain","NMC 811",250.163812611395,4142.43308692733,0.117505831756938,7.02139659913339,59.7536011119621
"BEV","2022","Spain","NMC 721",236.673,3200,0.0907724165319264,5.4239787694176,59.7536011119621
"BEV","2022","Spain","NMCA 89:4:4:3",277.6,3470,0.0984313391768076,5.88162697808721,59.7536011119621
"BEV","2022","Spain","NCA",5.5,55,0.00156015090914248,0.093224635099365,59.7536011119621
"BEV","2022","Sweden","NMC 111",193.450553785818,2697.33173894037,0.027133404475811,1.87354080798463,69.0492344834524
"BEV","2022","Sweden","LFP",162.6792,2895,0.02912181873051,2.01083929010758,69.0492344834524
"BEV","2022","Sweden","NMC 622",2086.21867997043,31793.3464144051,0.319820404530783,22.0833541050386,69.0492344834524
"BEV","2022","Sweden","NMC 532",1238.59787640537,19632.2034148254,0.197487208679463,13.6363405795907,69.0492344834524
"BEV","2022","Sweden","NMC 811",941.32908983839,12919.1184318291,0.129957936141526,8.97349600562174,69.0492344834524
"BEV","2022","Sweden","NMC 721",1586.249,21376,0.215028669147973,14.8475649966631,69.0492344834524
"BEV","2022","Sweden","NMCA 89:4:4:3",616.16,7702,0.0774771149783724,5.34973547924304,69.0492344834524
"BEV","2022","Sweden","NCA",39.5,395,0.00397344331556181,0.274363219202934,69.0492344834524
"BEV","2022","Switzerland","NMC 111",67.4117404522753,1001.57784279897,0.0236148785230701,1.63791367614779,69.3593945252635
"BEV","2022","Switzerland","LFP",97.0568,1764,0.0415910216207295,2.88472807730094,69.3593945252635
"BEV","2022","Switzerland","NMC 622",719.957628657426,10960.2701173241,0.258417704885863,17.9236955454917,69.3593945252635
"BEV","2022","Switzerland","NMC 532",397.019370222328,6561.10312390173,0.154695567960336,10.7295909294706,69.3593945252635
"BEV","2022","Switzerland","NMC 811",335.861460667971,4752.0489159752,0.112042272793134,7.7711842021662,69.3593945252635
"BEV","2022","Switzerland","NMC 721",760.033,10387,0.244901327423196,16.9862077885062,69.3593945252635
"BEV","2022","Switzerland","NMCA 89:4:4:3",537.2,6715,0.15832409874331,10.981263627594,69.3593945252635
"BEV","2022","Switzerland","NCA",27.2,272,0.00641312805036192,0.444810678586086,69.3593945252635
"BEV","2022","Thailand","NMC 111",12.7071968858615,253.344756511865,0.0255852107162053,1.35467877096164,52.9477277317714
"BEV","2022","Thailand","LFP",205.1605,4194,0.423550797818622,22.426052323475,52.9477277317714
"BEV","2022","Thailand","NMC 622",126.952914927382,2310.38854545009,0.233325443895182,12.3540520762568,52.9477277317714
"BEV","2022","Thailand","NMC 532",92.7812845454461,1659.72942947799,0.167615575588567,8.8748638598676,52.9477277317714
