"Powertrain","Year","Region","chemistry","MWh","unit","share_units","kwh_veh","kwh_veh_total"
"BEV","2022","EFTA","NMCA 89:4:4:3",14235.44,177943,0.108974205871672,6.94805725354063,63.7587326098313
"BEV","2022","EFTA","NCA",319.2,3192,0.00195481511013289,0.124636533908621,63.7587326098313
"BEV","2022","European Union","NMC 111",2536.07472740267,41362.7666026148,0.0253310028670712,1.61507263854046,63.7587326098313
"BEV","2022","European Union","LMO",0.6954,114,6.98148253618888e-05,0.00445130478245074,63.7587326098313
"BEV","2022","European Union","LFP",3281.5982,59536,0.036460486339872,2.32467439936831,63.7587326098313
"BEV","2022","European Union","NMC 622",31316.6042505868,527629.927148511,0.323126238768241,20.6021194568447,63.7587326098313
"BEV","2022","European Union","NMC 532",20284.9866619031,361431.867664165,0.221344760712237,14.1126614128386,63.7587326098313
"BEV","2022","European Union","NMC 811",12855.3124101074,198131.438584709,0.121337822662204,7.7363457905786,63.7587326098313
"BEV","2022","European Union","NMC 721",19281.149,263550,0.161400852843209,10.2907138194289,63.7587326098313
"BEV","2022","European Union","NMCA 89:4:4:3",14235.44,177943,0.108974205871672,6.94805725354063,63.7587326098313
"BEV","2022","European Union","NCA",319.2,3192,0.00195481511013289,0.124636533908621,63.7587326098313
"BEV","2022","India","NMC 111",80.7175491860552,2780.8282827845,0.0555221779531696,1.84449885387771,33.220938404712
"BEV","2022","India","LFP",18.797,277,0.00553059798342817,0.183731654948692,33.220938404712
"BEV","2022","India","NMC 622",659.07963009836,21178.6788275813,0.422854723521639,14.0476307242539,33.220938404712
"BEV","2022","India","NMC 532",558.235239346095,13995.9023702958,0.279442994315579,9.28335850178612,33.220938404712
"BEV","2022","India","NMC 811",347.04128136949,11852.5905193385,0.236649506226185,7.8617186698456,33.220938404712
"BEV","2022","Japan","NMC 111",745.923096569806,11372.2648737998,0.0453215510425458,3.05683201669975,67.447647893386
"BEV","2022","Japan","LMO",0.1037,17,6.77495974876855e-05,0.00456955099626804,67.447647893386
"BEV","2022","Japan","LFP",236.7829,4284,0.0170728985668968,1.15152685105955,67.447647893386
"BEV","2022","Japan","NMC 622",6649.15743898672,103006.58694459,0.410509106122132,27.6878736467542,67.447647893386
"BEV","2022","Japan","NMC 532",2607.6695163908,40141.1440693122,0.159973314905359,10.7898238160744,67.447647893386
"BEV","2022","Japan","NMC 811",3503.93994805267,51440.0041122982,0.205002327845476,13.8269248258462,67.447647893386
"BEV","2022","Japan","NMC 721",274.125,3655,0.0145661634598524,0.982453464197629,67.447647893386
"BEV","2022","Japan","NMCA 89:4:4:3",1290.72,16134,0.064298353286254,4.3367726925758,67.447647893386
"BEV","2022","Japan","NCA",1615.812,20874,0.0831885351739969,5.6108710291823,67.447647893386
"BEV","2022","Mexico","NMC 111",1228.65667403107,13713.355618072,0.0154102905865962,1.24880054625536,81.0367941628281
"BEV","2022","Mexico","LFP",4026.55,73210,0.0822692421363258,6.6668356409333,81.0367941628281
"BEV","2022","Mexico","NMC 622",14457.9045938993,184511.801762207,0.20734388876089,16.8024840344366,81.0367941628281
"BEV","2022","Mexico","NMC 532",4145.21710446264,46265.8425816465,0.0519909275507527,4.21317809426486,81.0367941628281
"BEV","2022","Mexico","NMC 811",6686.96812760699,71984.0000380748,0.0808915329746436,6.55519050718182,81.0367941628281
"BEV","2022","Mexico","NMC 721",1318.835,16457,0.01849344239636,1.49864928483594,81.0367941628281
"BEV","2022","Mexico","NCA",40249.134,483741,0.543600675594432,44.0516560549203,81.0367941628281
"BEV","2022","Middle East","NMC 111",56.9022918811683,878.299890907524,0.0259506541854786,1.794526956189,69.1515113015216
"BEV","2022","Middle East","LFP",336.5493,5904,0.174442310533314,12.062949408308,69.1515113015216
"BEV","2022","Middle East","NMC 622",576.037734748288,8738.81884163927,0.258201177179473,17.8550016217925,69.1515113015216
"BEV","2022","Middle East","NMC 532",248.29340461194,3962.1904563646,0.11706870900767,8.09547815399846,69.1515113015216
"BEV","2022","Middle East","NMC 811",291.893168758604,4213.69081108861,0.124499654634026,8.60933927446038,69.1515113015216
"BEV","2022","Middle East","NMC 721",98.426,1346,0.0397695375978727,2.75012362865558,69.1515113015216
"BEV","2022","Middle East","NMCA 89:4:4:3",681.12,8514,0.251558575860541,17.3956557016149,69.1515113015216
"BEV","2022","Middle East","NCA",51.211,288,0.00850938100162506,0.588436556502829,69.1515113015216
"BEV","2022","Other Asia Pacific","NMC 111",745.923096569806,11372.2648737998,0.0453215510425458,3.05683201669975,67.447647893386
"BEV","2022","Other Asia Pacific","LMO",0.1037,17,6.77495974876855e-05,0.00456955099626804,67.447647893386
"BEV","2022","Other Asia Pacific","LFP",236.7829,4284,0.0170728985668968,1.15152685105955,67.447647893386
"BEV","2022","Other Asia Pacific","NMC 622",6649.15743898672,103006.58694459,0.410509106122132,27.6878736467542,67.447647893386
"BEV","2022","Other Asia Pacific","NMC 532",2607.6695163908,40141.1440693122,0.159973314905359,10.7898238160744,67.447647893386
"BEV","2022","Other Asia Pacific","NMC 811",3503.93994805267,51440.0041122982,0.205002327845476,13.8269248258462,67.447647893386
"BEV","2022","Other Asia Pacific","NMC 721",274.125,3655,0.0145661634598524,0.982453464197629,67.447647893386
"BEV","2022","Other Asia Pacific","NMCA 89:4:4:3",1290.72,16134,0.064298353286254,4.3367726925758,67.447647893386
"BEV","2022","Other Asia Pacific","NCA",1615.812,20874,0.0831885351739969,5.6108710291823,67.447647893386
"BEV","2022","Other Europe","NMC 111",22.8226699334122,273.013395259342,0.0318680279280194,2.51603120900006,78.9515816505194
"BEV","2022","Other Europe","LFP",21.0698,397,0.0463406093148127,3.65866440005325,78.9515816505194
"BEV","2022","Other Europe","NMC 622",303.820835189394,4109.86198624386,0.479731759804349,37.8755812045405,78.9515816505194
"BEV","2022","Other Europe","NMC 532",95.5826634810672,1261.08708616173,0.147202881540998,11.6219003211759,78.9515816505194
"BEV","2022","Other Europe","NMC 811",222.682231396126,2395.03753233506,0.279565487607688,22.0721374215257,78.9515816505194
"BEV","2022","Other Europe","NMC 721",1.2,16,0.00186763160966499,0.147452469523557,78.9515816505194
"BEV","2022","Other Europe","NMCA 89:4:4:3",8.88,111,0.0129566942920509,1.02295150731968,78.9515816505194
"BEV","2022","Other Europe","NCA",0.32,4,0.000466907902416248,0.0368631173808892,78.9515816505194
"BEV","2022","Other Latin America and Caribbean","NMC 111",11.8517387590094,168.231721027069,0.0158529703191735,1.05574493124315,66.5960327930645
"BEV","2022","Other Latin America and Caribbean","LFP",128.2645,2665,0.251130795326046,16.7243146808817,66.5960327930645
"BEV","2022","Other Latin America and Caribbean","NMC 622",156.080399937711,2367.22714477316,0.223070782583223,14.8556291520869,66.5960327930645
"BEV","2022","Other Latin America and Caribbean","NMC 532",54.5425632997604,824.829227456133,0.0777260862661264,5.17624898985551,66.5960327930645
"BEV","2022","Other Latin America and Caribbean","NMC 811",57.5638980035193,791.711906743636,0.0746053436433882,4.96841991181292,66.5960327930645
"BEV","2022","Other Latin America and Caribbean","NMC 721",1.875,25,0.00235582359592914,0.156888505449172,66.5960327930645
"BEV","2022","Other Latin America and Caribbean","NCA",296.539,3770,0.355258198266114,23.6587866217351,66.5960327930645
"BEV","2022","South Korea","NMC 111",745.923096569806,11372.2648737998,0.0453215510425458,3.05683201669975,67.447647893386
"BEV","2022","South Korea","LMO",0.1037,17,6.77495974876855e-05,0.00456955099626804,67.447647893386
