Mineral,Year,Scenario,Demand
Copper,2042,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,31440.15587
Copper,2042,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,33953.13008
Copper,2043,Ambitious-Baseline-Baseline-Baseline-Baseline,29422.74815
Copper,2043,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,28869.24806
Copper,2043,Ambitious-Baseline-High Capacity-Baseline-Baseline,31945.22882
Copper,2043,Ambitious-Baseline-Low Capacity-Baseline-Baseline,27922.59855
Copper,2043,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,27782.77932
Copper,2043,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,31442.65159
Copper,2043,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,33965.13226
Copper,2044,Ambitious-Baseline-Baseline-Baseline-Baseline,29156.46887
Copper,2044,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,28508.6539
Copper,2044,Ambitious-Baseline-High Capacity-Baseline-Baseline,31665.22464
Copper,2044,Ambitious-Baseline-Low Capacity-Baseline-Baseline,27651.48095
Copper,2044,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,27493.55583
Copper,2044,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,31425.25143
Copper,2044,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,33934.0072
Copper,2045,Ambitious-Baseline-Baseline-Baseline-Baseline,28849.93843
Copper,2045,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,28112.51275
Copper,2045,Ambitious-Baseline-High Capacity-Baseline-Baseline,31344.92402
Copper,2045,Ambitious-Baseline-Low Capacity-Baseline-Baseline,27354.81787
Copper,2045,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,27182.63808
Copper,2045,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,31373.85643
Copper,2045,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,33868.84202
Copper,2046,Ambitious-Baseline-Baseline-Baseline-Baseline,28441.19767
Copper,2046,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,27603.77141
Copper,2046,Ambitious-Baseline-High Capacity-Baseline-Baseline,30882.4923
Copper,2046,Ambitious-Baseline-Low Capacity-Baseline-Baseline,26979.10179
Copper,2046,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,26784.60247
Copper,2046,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,31226.50743
Copper,2046,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,33667.80206
Copper,2047,Ambitious-Baseline-Baseline-Baseline-Baseline,28023.03869
Copper,2047,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,27087.96458
Copper,2047,Ambitious-Baseline-High Capacity-Baseline-Baseline,30400.41194
Copper,2047,Ambitious-Baseline-Low Capacity-Baseline-Baseline,26590.93877
Copper,2047,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,26374.72911
Copper,2047,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,31075.99653
Copper,2047,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,33453.36978
Copper,2048,Ambitious-Baseline-Baseline-Baseline-Baseline,27617.91025
Copper,2048,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,26585.33133
Copper,2048,Ambitious-Baseline-High Capacity-Baseline-Baseline,29926.34876
Copper,2048,Ambitious-Baseline-Low Capacity-Baseline-Baseline,26221.62253
Copper,2048,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,25983.91771
Copper,2048,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,30944.77249
Copper,2048,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,33253.211
Copper,2049,Ambitious-Baseline-Baseline-Baseline-Baseline,27223.5999
Copper,2049,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,26093.30177
Copper,2049,Ambitious-Baseline-High Capacity-Baseline-Baseline,29460.33174
Copper,2049,Ambitious-Baseline-Low Capacity-Baseline-Baseline,25866.59505
Copper,2049,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,25606.00486
Copper,2049,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,30830.62286
Copper,2049,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,33067.3547
Copper,2050,Ambitious-Baseline-Baseline-Baseline-Baseline,26829.65198
Copper,2050,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,25604.92331
Copper,2050,Ambitious-Baseline-High Capacity-Baseline-Baseline,28998.55018
Copper,2050,Ambitious-Baseline-Low Capacity-Baseline-Baseline,25508.6743
Copper,2050,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,25227.53591
Copper,2050,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,30723.09198
Copper,2050,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,32891.99018
Copper,2051,Ambitious-Baseline-Baseline-Baseline-Baseline,26577.682
Copper,2051,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,25256.663
Copper,2051,Ambitious-Baseline-High Capacity-Baseline-Baseline,28667.49419
Copper,2051,Ambitious-Baseline-Low Capacity-Baseline-Baseline,25298.12945
Copper,2051,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,24980.89163
Copper,2051,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,30522.162
Copper,2051,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,32611.97419
Copper,2052,Ambitious-Baseline-Baseline-Baseline-Baseline,26325.26777
Copper,2052,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,24918.50248
Copper,2052,Ambitious-Baseline-High Capacity-Baseline-Baseline,28343.37331
Copper,2052,Ambitious-Baseline-Low Capacity-Baseline-Baseline,25088.85974
Copper,2052,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,24748.01881
Copper,2052,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,30320.78777
Copper,2052,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,32338.89331
Copper,2053,Ambitious-Baseline-Baseline-Baseline-Baseline,26109.98514
Copper,2053,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,24618.53802
Copper,2053,Ambitious-Baseline-High Capacity-Baseline-Baseline,28063.86605
Copper,2053,Ambitious-Baseline-Low Capacity-Baseline-Baseline,24910.60938
Copper,2053,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,24548.65028
Copper,2053,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,30156.54514
Copper,2053,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,32110.42605
Copper,2054,Ambitious-Baseline-Baseline-Baseline-Baseline,25895.67621
Copper,2054,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,24325.41522
Copper,2054,Ambitious-Baseline-High Capacity-Baseline-Baseline,27794.80813
Copper,2054,Ambitious-Baseline-Low Capacity-Baseline-Baseline,24728.45775
Copper,2054,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,24347.83272
Copper,2054,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29993.27621
Copper,2054,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,31892.40813
Copper,2055,Ambitious-Baseline-Baseline-Baseline-Baseline,25702.28658
Copper,2055,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,24056.59826
Copper,2055,Ambitious-Baseline-High Capacity-Baseline-Baseline,27553.69234
Copper,2055,Ambitious-Baseline-Low Capacity-Baseline-Baseline,24560.98705
Copper,2055,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,24163.26639
Copper,2055,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29850.92658
Copper,2055,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,31702.33234
Copper,2056,Ambitious-Baseline-Baseline-Baseline-Baseline,25527.68981
Copper,2056,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,23812.20287
Copper,2056,Ambitious-Baseline-High Capacity-Baseline-Baseline,27338.33416
Copper,2056,Ambitious-Baseline-Low Capacity-Baseline-Baseline,24409.35849
Copper,2056,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23994.4173
Copper,2056,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29727.36981
Copper,2056,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,31538.01416
Copper,2057,Ambitious-Baseline-Baseline-Baseline-Baseline,25350.14732
Copper,2057,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,23570.45872
Copper,2057,Ambitious-Baseline-High Capacity-Baseline-Baseline,27125.22354
Copper,2057,Ambitious-Baseline-Low Capacity-Baseline-Baseline,24252.89491
Copper,2057,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23821.26325
Copper,2057,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29600.86732
Copper,2057,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,31375.94354
Copper,2058,Ambitious-Baseline-Baseline-Baseline-Baseline,25209.31478
Copper,2058,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,23370.83506
Copper,2058,Ambitious-Baseline-High Capacity-Baseline-Baseline,26953.12691
Copper,2058,Ambitious-Baseline-Low Capacity-Baseline-Baseline,24130.86083
Copper,2058,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23683.43833
Copper,2058,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29511.07478
Copper,2058,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,31254.88691
Copper,2059,Ambitious-Baseline-Baseline-Baseline-Baseline,25078.4704
Copper,2059,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,23187.02344
Copper,2059,Ambitious-Baseline-High Capacity-Baseline-Baseline,26795.36888
Copper,2059,Ambitious-Baseline-Low Capacity-Baseline-Baseline,24016.15213
Copper,2059,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23555.34328
Copper,2059,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29431.2704
Copper,2059,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,31148.16888
Copper,2060,Ambitious-Baseline-Baseline-Baseline-Baseline,24959.66628
Copper,2060,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,23020.51157
Copper,2060,Ambitious-Baseline-High Capacity-Baseline-Baseline,26654.68979
Copper,2060,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23910.50705
Copper,2060,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23438.40884
Copper,2060,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29363.50628
Copper,2060,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,31058.52979
Copper,2061,Ambitious-Baseline-Baseline-Baseline-Baseline,24852.34449
Copper,2061,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22870.43722
Copper,2061,Ambitious-Baseline-High Capacity-Baseline-Baseline,26529.67627
Copper,2061,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23814.06473
Copper,2061,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23330.936
Copper,2061,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29307.22449
Copper,2061,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30984.55627
Copper,2062,Ambitious-Baseline-Baseline-Baseline-Baseline,24752.41935
Copper,2062,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22732.16786
Copper,2062,Ambitious-Baseline-High Capacity-Baseline-Baseline,26415.29106
Copper,2062,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23723.10442
Copper,2062,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23229.96466
Copper,2062,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29258.33935
Copper,2062,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30921.21106
Copper,2063,Ambitious-Baseline-Baseline-Baseline-Baseline,24670.08906
Copper,2063,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22615.72726
Copper,2063,Ambitious-Baseline-High Capacity-Baseline-Baseline,26321.32875
Copper,2063,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23648.00036
Copper,2063,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23145.90655
Copper,2063,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.04906
Copper,2063,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30878.28875
Copper,2064,Ambitious-Baseline-Baseline-Baseline-Baseline,24593.95194
Copper,2064,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22508.94633
Copper,2064,Ambitious-Baseline-High Capacity-Baseline-Baseline,26236.14645
Copper,2064,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23577.51004
Copper,2064,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23067.47449
Copper,2064,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29201.95194
Copper,2064,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30844.14645
Copper,2065,Ambitious-Baseline-Baseline-Baseline-Baseline,24525.67589
Copper,2065,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22413.3482
Copper,2065,Ambitious-Baseline-High Capacity-Baseline-Baseline,26161.98485
Copper,2065,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23512.95894
Copper,2065,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22995.94494
Copper,2065,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29184.71589
Copper,2065,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30821.02485
Copper,2066,Ambitious-Baseline-Baseline-Baseline-Baseline,24466.09825
Copper,2066,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22329.34647
