"t","Region","Scenario","Demand"
2022,"Other Latin America and Caribbean","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",7385.72190204623
2022,"Other Latin America and Caribbean","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",7385.72190204623
2022,"Other Latin America and Caribbean","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",7385.72190204623
2022,"South Korea","Ambitious-Baseline-Baseline-Baseline-Baseline",5137.00702479607
2022,"South Korea","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",5135.40304570892
2022,"South Korea","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",5138.61100388322
2022,"South Korea","Ambitious-Baseline-Baseline-Baseline-USA Recycling",5137.00702479607
2022,"South Korea","Ambitious-Baseline-High Capacity-Baseline-Baseline",5137.00702479607
2022,"South Korea","Ambitious-Baseline-Low Capacity-Baseline-Baseline",5137.00702479607
2022,"South Korea","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",5138.61100388322
2022,"South Korea","Ambitious-Double LFP-Baseline-Baseline-Baseline",5137.00702479607
2022,"South Korea","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",5137.00702479607
2022,"South Korea","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",5137.00702479607
2022,"South Korea","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",5137.00702479607
2022,"United Kingdom","Ambitious-Baseline-Baseline-Baseline-Baseline",13249.3116100512
2022,"United Kingdom","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",13246.8493928756
2022,"United Kingdom","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",13251.7738272268
2022,"United Kingdom","Ambitious-Baseline-Baseline-Baseline-USA Recycling",13249.3116100512
2022,"United Kingdom","Ambitious-Baseline-High Capacity-Baseline-Baseline",13249.3116100512
2022,"United Kingdom","Ambitious-Baseline-Low Capacity-Baseline-Baseline",13249.3116100512
2022,"United Kingdom","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",13251.7738272268
2022,"United Kingdom","Ambitious-Double LFP-Baseline-Baseline-Baseline",13249.3116100512
2022,"United Kingdom","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",13249.3116100512
2022,"United Kingdom","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",13249.3116100512
2022,"United Kingdom","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",13249.3116100512
2022,"United States","Ambitious-Baseline-Baseline-Baseline-Baseline",38344.9744905178
2022,"United States","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",38334.7669699689
2022,"United States","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",38355.1820110668
2022,"United States","Ambitious-Baseline-Baseline-Baseline-USA Recycling",38344.9744905178
2022,"United States","Ambitious-Baseline-High Capacity-Baseline-Baseline",38344.9744905178
2022,"United States","Ambitious-Baseline-Low Capacity-Baseline-Baseline",38344.9744905178
2022,"United States","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",38355.1820110668
2022,"United States","Ambitious-Double LFP-Baseline-Baseline-Baseline",38344.9744905178
2022,"United States","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",38344.9744905178
2022,"United States","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",38344.9744905178
2022,"United States","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",38344.9744905178
2023,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Baseline",3906.86230557272
2023,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",3907.11169203285
2023,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",3906.01198678415
2023,"ASEAN","Ambitious-Baseline-Baseline-Baseline-USA Recycling",3906.86230557272
2023,"ASEAN","Ambitious-Baseline-High Capacity-Baseline-Baseline",4039.61395457605
2023,"ASEAN","Ambitious-Baseline-Low Capacity-Baseline-Baseline",3837.14669215622
2023,"ASEAN","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",3836.29637336765
2023,"ASEAN","Ambitious-Double LFP-Baseline-Baseline-Baseline",3944.86091689311
2023,"ASEAN","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",3902.1125545319
2023,"ASEAN","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",3906.86230557272
2023,"ASEAN","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",3906.86230557272
2023,"Africa","Ambitious-Baseline-Baseline-Baseline-Baseline",2413.42066512757
2023,"Africa","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",2413.46750506895
2023,"Africa","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",2413.17966241976
2023,"Africa","Ambitious-Baseline-Baseline-Baseline-USA Recycling",2413.42066512757
2023,"Africa","Ambitious-Baseline-High Capacity-Baseline-Baseline",2488.41067615888
2023,"Africa","Ambitious-Baseline-Low Capacity-Baseline-Baseline",2373.48939074982
2023,"Africa","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",2373.24838804201
2023,"Africa","Ambitious-Double LFP-Baseline-Baseline-Baseline",2414.13512059701
2023,"Africa","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",2410.65353696203
2023,"Africa","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",2413.42066512757
2023,"Africa","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",2413.42066512757
2023,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Baseline",3689.2339902274
2023,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",3689.41963147259
