"Region","Country","Powertrain","kwh_veh","Vehicle"
"Other Latin America and Caribbean","El Salvador","BEV",66.5960327930645,"Car"
"Africa","Equatorial Guinea","BEV",51.4629185867896,"Car"
"Africa","Eritrea","BEV",51.4629185867896,"Car"
"Other Asia Pacific","French Polynesia","BEV",67.447647893386,"Car"
"Africa","Gabon","BEV",51.4629185867896,"Car"
"Africa","Gambia, The","BEV",51.4629185867896,"Car"
"Other Latin America and Caribbean","Grenada","BEV",66.5960327930645,"Car"
"Other Latin America and Caribbean","Guatemala","BEV",66.5960327930645,"Car"
"Africa","Guinea","BEV",51.4629185867896,"Car"
"Africa","Guinea-Bissau","BEV",51.4629185867896,"Car"
"Other Latin America and Caribbean","Guyana","BEV",66.5960327930645,"Car"
"Other Latin America and Caribbean","Haiti","BEV",66.5960327930645,"Car"
"Other Latin America and Caribbean","Honduras","BEV",66.5960327930645,"Car"
"Middle East","Iran, Islamic Rep.","BEV",69.1515113015216,"Car"
"Other Asia Pacific","Kiribati","BEV",67.447647893386,"Car"
"Other Asia Pacific","Kyrgyz Republic","BEV",67.447647893386,"Car"
"Africa","Lesotho","BEV",51.4629185867896,"Car"
"Africa","Liberia","BEV",51.4629185867896,"Car"
"Africa","Libya","BEV",51.4629185867896,"Car"
"Africa","Madagascar","BEV",51.4629185867896,"Car"
"Africa","Malawi","BEV",51.4629185867896,"Car"
"Other Asia Pacific","Maldives","BEV",67.447647893386,"Car"
"Africa","Mali","BEV",51.4629185867896,"Car"
"Africa","Mauritania","BEV",51.4629185867896,"Car"
"Other Europe","Montenegro","BEV",78.9515816505194,"Car"
"Africa","Mozambique","BEV",51.4629185867896,"Car"
"ASEAN","Myanmar","BEV",53.5343248461446,"Car"
"Africa","Namibia","BEV",51.4629185867896,"Car"
"Other Latin America and Caribbean","Nicaragua","BEV",66.5960327930645,"Car"
"Africa","Niger","BEV",51.4629185867896,"Car"
"Other Asia Pacific","Palau","BEV",67.447647893386,"Car"
"Other Asia Pacific","Papua New Guinea","BEV",67.447647893386,"Car"
"Other Asia Pacific","Samoa","BEV",67.447647893386,"Car"
"Africa","Sao Tome and Principe","BEV",51.4629185867896,"Car"
"Africa","Senegal","BEV",51.4629185867896,"Car"
"Africa","Seychelles","BEV",51.4629185867896,"Car"
"Africa","Sierra Leone","BEV",51.4629185867896,"Car"
"Other Asia Pacific","Solomon Islands","BEV",67.447647893386,"Car"
"Africa","Somalia","BEV",51.4629185867896,"Car"
"Africa","South Sudan","BEV",51.4629185867896,"Car"
"Other Asia Pacific","Sri Lanka","BEV",67.447647893386,"Car"
"Other Latin America and Caribbean","St. Kitts and Nevis","BEV",66.5960327930645,"Car"
"Other Latin America and Caribbean","St. Lucia","BEV",66.5960327930645,"Car"
"Other Latin America and Caribbean","St. Vincent and the Grenadines","BEV",66.5960327930645,"Car"
"Africa","Sudan","BEV",51.4629185867896,"Car"
"Africa","Swaziland","BEV",51.4629185867896,"Car"
"Middle East","Syrian Arab Republic","BEV",69.1515113015216,"Car"
"Other Asia Pacific","Tajikistan","BEV",67.447647893386,"Car"
"Africa","Tanzania","BEV",51.4629185867896,"Car"
"Other Asia Pacific","Timor-Leste","BEV",67.447647893386,"Car"
"Africa","Togo","BEV",51.4629185867896,"Car"
"Other Asia Pacific","Tonga","BEV",67.447647893386,"Car"
"Other Latin America and Caribbean","Trinidad and Tobago","BEV",66.5960327930645,"Car"
"Other Asia Pacific","Turkmenistan","BEV",67.447647893386,"Car"
"Africa","Uganda","BEV",51.4629185867896,"Car"
"Other Asia Pacific","Uzbekistan","BEV",67.447647893386,"Car"
"Other Asia Pacific","Vanuatu","BEV",67.447647893386,"Car"
"Other Latin America and Caribbean","Venezuela, RB","BEV",66.5960327930645,"Car"
"Middle East","Yemen, Rep.","BEV",69.1515113015216,"Car"
"Other Asia Pacific","Afghanistan","PHEV",14.7593186182247,"Car"
"Other Europe","Albania","PHEV",15.7592028135991,"Car"
"Africa","Algeria","PHEV",16.1937639198218,"Car"
"Africa","Angola","PHEV",16.1937639198218,"Car"
"Other Latin America and Caribbean","Antigua and Barbuda","PHEV",16.6129090909091,"Car"
"Other Europe","Armenia","PHEV",15.7592028135991,"Car"
"Other Latin America and Caribbean","Aruba","PHEV",16.6129090909091,"Car"
"Other Europe","Azerbaijan","PHEV",15.7592028135991,"Car"
"Other Latin America and Caribbean","Bahamas, The","PHEV",16.6129090909091,"Car"
