"chemistry","Year","stationaryPower","ICCT_Region","ICCT_Country"
"LCO",2026,0,"Other Latin America and Caribbean","El Salvador"
"LCO",2026,0,"Other Latin America and Caribbean","Peru"
"LCO",2026,0,"Other Latin America and Caribbean","Trinidad and Tobago"
"LCO",2026,0,"Other Latin America and Caribbean","Uruguay"
"LCO",2026,0,"Other Latin America and Caribbean","Venezuela, RB"
"LCO",2026,0,"Africa","Algeria"
"LCO",2026,0,"Africa","Burundi"
"LCO",2026,0,"Africa","Kenya"
"LCO",2026,0,"Africa","Morocco"
"LCO",2026,0,"Africa","Nigeria"
"LCO",2026,0,"Africa","South Africa"
"LCO",2026,0,"Africa","Tunisia"
"LCO",2026,0,"Australia/NZ","Australia"
"LCO",2026,0,"Australia/NZ","New Zealand"
"LCO",2026,0,"Middle East","Egypt, Arab Rep."
"LCO",2026,0,"Middle East","Iran, Islamic Rep."
"LCO",2026,0,"Middle East","Iraq"
"LCO",2026,0,"Middle East","Israel"
"LCO",2026,0,"Middle East","Kuwait"
"LCO",2026,0,"Middle East","Oman"
"LCO",2026,0,"Middle East","Qatar"
"LCO",2026,0,"Middle East","Saudi Arabia"
"LCO",2026,0,"Middle East","Turkey"
"LCO",2026,0,"Middle East","United Arab Emirates"
"LCO",2027,0,"China","China"
"LCO",2027,0,"ASEAN","Indonesia"
"LCO",2027,0,"ASEAN","Malaysia"
"LCO",2027,0,"ASEAN","Philippines"
"LCO",2027,0,"ASEAN","Singapore"
"LCO",2027,0,"ASEAN","Thailand"
"LCO",2027,0,"ASEAN","Vietnam"
"LCO",2027,0,"India","India"
"LCO",2027,0,"Japan","Japan"
"LCO",2027,0,"Other Asia Pacific","Bangladesh"
"LCO",2027,0,"Other Asia Pacific","Kazakhstan"
"LCO",2027,0,"Other Asia Pacific","Mongolia"
"LCO",2027,0,"Other Asia Pacific","Pakistan"
"LCO",2027,0,"Other Asia Pacific","Sri Lanka"
"LCO",2027,0,"Other Asia Pacific","Turkmenistan"
"LCO",2027,0,"Other Asia Pacific","Uzbekistan"
"LCO",2027,0,"South Korea","Korea, Rep."
"LCO",2027,0,"EFTA","Iceland"
"LCO",2027,0,"EFTA","Norway"
"LCO",2027,0,"EFTA","Switzerland"
"LCO",2027,0,"European Union","Austria"
"LCO",2027,0,"European Union","Belgium"
"LCO",2027,0,"European Union","Bulgaria"
"LCO",2027,0,"European Union","Croatia"
"LCO",2027,0,"European Union","Cyprus"
"LCO",2027,0,"European Union","Czechia"
"LCO",2027,0,"European Union","Denmark"
"LCO",2027,0,"European Union","Estonia"
"LCO",2027,0,"European Union","Finland"
"LCO",2027,0,"European Union","France"
"LCO",2027,0,"European Union","Germany"
"LCO",2027,0,"European Union","Greece"
"LCO",2027,0,"European Union","Hungary"
"LCO",2027,0,"European Union","Ireland"
"LCO",2027,0,"European Union","Italy"
"LCO",2027,0,"European Union","Latvia"
"LCO",2027,0,"European Union","Lithuania"
"LCO",2027,0,"European Union","Luxembourg"
"LCO",2027,0,"European Union","Malta"
"LCO",2027,0,"European Union","Netherlands"
"LCO",2027,0,"European Union","Poland"
"LCO",2027,0,"European Union","Portugal"
"LCO",2027,0,"European Union","Romania"
